,행정구역,동,차명
64,강남구,대치동,아이오닉5(IONIQ5)
65,강남구,대치동,쏘울 EV
66,강남구,대치동,아이오닉5 (IONIQ5)
67,강남구,대치동,EV6
68,강남구,대치동,EV6
69,강남구,대치동,EV6
70,강남구,대치동,EV6
71,강남구,대치동,EV6
72,강남구,대치동,EV6
73,강남구,대치동,EV6
74,강남구,대치동,Model 3 Long Range
75,강남구,대치동,Model 3 Long Range
76,강남구,대치동,Model 3 Long Range
77,강남구,대치동,Model 3 Long Range
78,강남구,대치동,Model 3 Long Range
79,강남구,대치동,아이오닉5 (IONIQ5)
80,강남구,대치동,아이오닉5 (IONIQ5)
81,강남구,대치동,Model 3 Long Range
82,강남구,대치동,Model 3 Long Range
83,강남구,대치동,Model 3 Long Range
84,강남구,대치동,Model 3 Long Range
85,강남구,대치동,Model 3 Long Range
86,강남구,대치동,아이오닉5 (IONIQ5)
87,강남구,대치동,Model 3 Long Range
88,강남구,대치동,EV6
89,강남구,대치동,EV6
90,강남구,대치동,EV6
91,강남구,대치동,EV6
92,강남구,대치동,EV6
93,강남구,대치동,EV6
94,강남구,대치동,CEVO-C SE
95,강남구,대치동,아이오닉5 (IONIQ5)
96,강남구,대치동,EV6
97,강남구,대치동,EV6
98,강남구,대치동,EV6
99,강남구,대치동,EV6
100,강남구,대치동,EV6
101,강남구,대치동,EV6
102,강남구,대치동,EV6
103,강남구,대치동,Model 3 Long Range
104,강남구,대치동,Model 3 Long Range
105,강남구,대치동,Model 3 Long Range
106,강남구,대치동,Model 3 Long Range
107,강남구,대치동,Model 3 Long Range
108,강남구,대치동,Model 3 Long Range
109,강남구,대치동,Model 3 Long Range
110,강남구,대치동,Model 3 Long Range
111,강남구,대치동,EV6
112,강남구,대치동,EV6
113,강남구,대치동,EV6
114,강남구,대치동,EV6
115,강남구,대치동,아이오닉5 (IONIQ5)
116,강남구,대치동,GV60
117,강남구,대치동,EV6
118,강남구,대치동,아이오닉5 (IONIQ5)
119,강남구,대치동,아이오닉5 (IONIQ5)
120,강남구,대치동,아이오닉5 (IONIQ5)
121,강남구,대치동,아이오닉5 (IONIQ5)
122,강남구,대치동,아이오닉5 (IONIQ5)
123,강남구,대치동,GV60
124,강남구,대치동,GV60
125,강남구,대치동,GV60
126,강남구,대치동,GV60
127,강남구,대치동,Model 3 Long Range
128,강남구,대치동,아이오닉5 (IONIQ5)
129,강남구,대치동,아이오닉5 (IONIQ5)
130,강남구,대치동,Model 3 Long Range
131,강남구,대치동,Model 3 Long Range
132,강남구,대치동,Model 3 Long Range
133,강남구,대치동,Model 3 Long Range
134,강남구,대치동,Model 3 Long Range
135,강남구,대치동,아이오닉5(IONIQ5)
136,강남구,대치동,Model 3 Long Range
137,강남구,대치동,Model 3 Long Range
138,강남구,대치동,Model 3 Long Range
139,강남구,대치동,Model 3 Long Range
140,강남구,대치동,Model 3 Long Range
141,강남구,대치동,EV6
142,강남구,대치동,EV6
143,강남구,대치동,EV6
144,강남구,대치동,EV6
145,강남구,대치동,아이오닉5(IONIQ5)
146,강남구,대치동,아이오닉5(IONIQ5)
147,강남구,대치동,아이오닉5(IONIQ5)
148,강남구,대치동,아이오닉5(IONIQ5)
149,강남구,대치동,아이오닉5(IONIQ5)
150,강남구,대치동,아이오닉5(IONIQ5)
151,강남구,대치동,아이오닉5 (IONIQ5)
152,강남구,대치동,아이오닉5(IONIQ5)
153,강남구,대치동,아이오닉5(IONIQ5)
154,강남구,대치동,아이오닉5(IONIQ5)
155,강남구,대치동,EV6
156,강남구,대치동,아이오닉5(IONIQ5)
157,강남구,대치동,GV60
158,강남구,대치동,GV60
159,강남구,대치동,GV60
160,강남구,대치동,GV60
161,강남구,대치동,GV60
162,강남구,대치동,GV60
163,강남구,대치동,아이오닉5(IONIQ5)
164,강남구,대치동,아이오닉5 (IONIQ5)
165,강남구,대치동,아이오닉5(IONIQ5)
166,강남구,대치동,아이오닉5(IONIQ5)
167,강남구,대치동,EV6
168,강남구,대치동,GV60
169,강남구,대치동,EV6
170,강남구,대치동,아이오닉5 (IONIQ5)
171,강남구,대치동,아이오닉5 (IONIQ5)
172,강남구,대치동,아이오닉5 (IONIQ5)
173,강남구,대치동,아이오닉5 (IONIQ5)
174,강남구,대치동,아이오닉5 (IONIQ5)
175,강남구,대치동,GV60
176,강남구,대치동,GV60
177,강남구,대치동,GV60
178,강남구,대치동,아이오닉5(IONIQ5)
179,강남구,대치동,아이오닉5(IONIQ5)
180,강남구,대치동,아이오닉5(IONIQ5)
181,강남구,대치동,아이오닉5(IONIQ5)
182,강남구,대치동,아이오닉5(IONIQ5)
183,강남구,대치동,아이오닉5(IONIQ5)
184,강남구,대치동,아이오닉5(IONIQ5)
185,강남구,대치동,아이오닉5 (IONIQ5)
186,강남구,대치동,아이오닉5(IONIQ5)
187,강남구,대치동,아이오닉5(IONIQ5)
188,강남구,대치동,아이오닉5(IONIQ5)
189,강남구,대치동,아이오닉5(IONIQ5)
190,강남구,대치동,아이오닉5(IONIQ5)
191,강남구,대치동,아이오닉5(IONIQ5)
192,강남구,대치동,코나 일렉트릭 (KONA ELECTRIC
193,강남구,대치동,쏘울 EV
194,강남구,대치동,아이오닉5 (IONIQ5)
195,강남구,대치동,아이오닉5(IONIQ5)
196,강남구,대치동,아이오닉5(IONIQ5)
197,강남구,대치동,GV60
198,강남구,대치동,GV60
199,강남구,대치동,아이오닉5(IONIQ5)
200,강남구,대치동,GV60
201,강남구,대치동,GV60
202,강남구,대치동,GV60
203,강남구,대치동,GV60
204,강남구,대치동,아이오닉5 (IONIQ5)
205,강남구,대치동,아이오닉5(IONIQ5)
206,강남구,대치동,아이오닉5(IONIQ5)
207,강남구,대치동,아이오닉5(IONIQ5)
208,강남구,대치동,아이오닉5(IONIQ5)
209,강남구,대치동,아이오닉5(IONIQ5)
210,강남구,대치동,쏘울 EV
211,강남구,대치동,코나 일렉트릭 (KONA ELECTRIC
212,강남구,대치동,EV6
213,강남구,대치동,EV6
214,강남구,대치동,아이오닉5 (IONIQ5)
215,강남구,대치동,아이오닉5 (IONIQ5)
216,강남구,대치동,니로 EV
217,강남구,대치동,니로 EV
218,강남구,대치동,니로 EV
219,강남구,대치동,니로 EV
220,강남구,대치동,니로 EV
221,강남구,대치동,니로 EV
222,강남구,대치동,니로 EV
223,강남구,대치동,EV6
224,강남구,대치동,EV6
225,강남구,대치동,EV6
226,강남구,대치동,아이오닉5 (IONIQ5)
227,강남구,대치동,아이오닉5 (IONIQ5)
228,강남구,대치동,EV6
229,강남구,대치동,EV6
230,강남구,대치동,EV6
231,강남구,대치동,아이오닉5 (IONIQ5)
232,강남구,대치동,아이오닉5 (IONIQ5)
233,강남구,대치동,니로 EV
234,강남구,대치동,니로 EV
235,강남구,대치동,니로 EV
236,강남구,대치동,니로 EV
237,동작구,상도동,Model Y Long Range
238,동작구,상도동,Model 3 Long Range
239,동작구,상도동,포터Ⅱ 일렉트릭 (PORTERⅡ EL
240,강남구,대치동,EV6
241,강남구,대치동,EV6
242,강남구,대치동,EV6
243,강남구,대치동,EV6
244,강남구,대치동,EV6
245,강남구,대치동,EV6
246,강남구,대치동,EV6
247,강남구,대치동,EV6
248,강남구,대치동,EV6
249,강남구,대치동,아이오닉5 (IONIQ5)
250,강남구,대치동,EV6
251,강남구,대치동,EV6
252,강남구,대치동,EV6
253,강남구,대치동,EV6
254,강남구,대치동,EV6
255,강남구,대치동,EV6
256,강남구,대치동,니로 EV
257,강남구,대치동,니로 EV
258,강남구,대치동,EV6
259,강남구,대치동,EV6
260,강남구,대치동,EV6
261,강남구,대치동,니로 EV
262,강남구,대치동,EV6
263,강남구,대치동,아이오닉5 (IONIQ5)
264,강남구,대치동,니로 EV
265,강남구,대치동,니로 EV
266,강남구,대치동,니로 EV
267,강남구,대치동,니로 EV
268,강남구,대치동,EV6
269,강남구,대치동,EV6
270,강남구,대치동,EV6
271,강남구,대치동,아이오닉5 (IONIQ5)
272,강남구,대치동,EV6
273,강남구,대치동,아이오닉5 (IONIQ5)
274,강남구,대치동,EV6
275,강남구,대치동,EV6
276,강남구,대치동,EV6
277,강남구,대치동,EV6
278,강남구,대치동,EV6
279,강남구,대치동,아이오닉5 (IONIQ5)
280,강남구,대치동,EV6
281,강남구,대치동,EV6
282,강남구,대치동,EV6
283,강남구,대치동,EV6
284,강남구,대치동,니로 EV
285,강남구,대치동,아이오닉5 (IONIQ5)
286,강남구,대치동,EV6
287,동작구,상도동,Model 3 Long Range
288,동작구,상도동,CHEVROLET BOLT EV
289,강남구,대치동,아이오닉5 (IONIQ5)
290,강남구,대치동,아이오닉5 (IONIQ5)
291,강남구,대치동,아이오닉5 (IONIQ5)
292,강남구,대치동,EV6
293,강남구,대치동,아이오닉5 (IONIQ5)
294,강남구,대치동,아이오닉5 (IONIQ5)
295,강남구,대치동,아이오닉5 (IONIQ5)
296,강남구,대치동,아이오닉5 (IONIQ5)
297,강남구,대치동,EV6
298,강남구,대치동,니로 EV
299,강남구,대치동,니로 EV
300,강남구,대치동,EV6
301,강남구,대치동,EV6
302,강남구,대치동,EV6
303,강남구,대치동,EV6
304,강남구,대치동,EV6
305,강남구,대치동,니로 EV
306,강남구,대치동,니로 EV
307,강남구,대치동,니로 EV
308,강남구,대치동,니로 EV
309,강남구,대치동,니로 EV
310,강남구,대치동,EV6
311,강남구,대치동,니로 EV
312,강남구,대치동,EV6
313,강남구,대치동,EV6
314,강남구,대치동,EV6
315,강남구,대치동,EV6
316,강남구,대치동,EV6
317,강남구,대치동,니로 EV
318,강남구,대치동,니로 EV
319,강남구,대치동,EV6
320,강남구,대치동,EV6
321,강남구,대치동,니로 EV
322,강남구,대치동,니로 EV
323,강남구,대치동,EV6
324,강남구,대치동,아이오닉5 (IONIQ5)
325,강남구,대치동,아이오닉5 (IONIQ5)
326,강남구,대치동,아이오닉5 (IONIQ5)
327,강남구,대치동,EV6
328,강남구,대치동,EV6
329,강남구,대치동,아이오닉5 (IONIQ5)
330,강남구,대치동,아이오닉5 (IONIQ5)
331,강남구,대치동,아이오닉5 (IONIQ5)
332,강남구,대치동,EV6
333,강남구,대치동,EV6
334,강남구,대치동,니로 EV
335,동작구,상도동,Peugeot e-2008 SUV
336,동작구,상도동,Model 3 Long Range
337,강남구,대치동,EV6
338,강남구,대치동,EV6
339,강남구,대치동,EV6
340,강남구,대치동,EV6
341,강남구,대치동,EV6
342,강남구,대치동,니로 EV
343,강남구,대치동,니로 EV
344,강남구,대치동,EV6
345,강남구,대치동,EV6
346,강남구,대치동,니로 EV
347,강남구,대치동,니로 EV
348,강남구,대치동,EV6
349,강남구,대치동,EV6
350,강남구,대치동,아이오닉5 (IONIQ5)
351,강남구,대치동,아이오닉5 (IONIQ5)
352,강남구,대치동,아이오닉5 (IONIQ5)
353,강남구,대치동,아이오닉5 (IONIQ5)
354,강남구,대치동,아이오닉5 (IONIQ5)
355,강남구,대치동,아이오닉5 (IONIQ5)
356,강남구,대치동,아이오닉5 (IONIQ5)
357,강남구,대치동,아이오닉5 (IONIQ5)
358,강남구,대치동,아이오닉5 (IONIQ5)
359,강남구,대치동,아이오닉5 (IONIQ5)
360,강남구,대치동,EV6
361,강남구,대치동,EV6
362,강남구,대치동,EV6
363,강남구,대치동,EV6
364,강남구,대치동,EV6
365,강남구,대치동,니로 EV
366,강남구,대치동,니로 EV
367,강남구,대치동,니로 EV
368,강남구,대치동,니로 EV
369,강남구,대치동,EV6
370,강남구,대치동,EV6
371,강남구,대치동,니로 EV
372,강남구,대치동,EV6
373,강남구,대치동,EV6
374,강남구,대치동,EV6
375,강남구,대치동,EV6
376,강남구,대치동,EV6
377,강남구,대치동,니로 EV
378,강남구,대치동,니로 EV
379,강남구,대치동,EV6
380,강남구,대치동,니로 EV
381,강남구,대치동,니로 EV
382,강남구,대치동,니로 EV
383,동작구,상도동,니로 EV
384,동작구,상도동,니로 EV
385,동작구,상도동,코나 일렉트릭 (KONA ELECTRIC
386,강남구,대치동,아이오닉5 (IONIQ5)
387,강남구,대치동,아이오닉5(IONIQ5)
388,강남구,대치동,아이오닉5(IONIQ5)
389,강남구,대치동,아이오닉5(IONIQ5)
390,강남구,대치동,아이오닉5 (IONIQ5)
391,강남구,대치동,아이오닉5(IONIQ5)
392,강남구,대치동,아이오닉5 (IONIQ5)
393,강남구,대치동,아이오닉5 (IONIQ5)
394,강남구,대치동,아이오닉5 (IONIQ5)
395,강남구,대치동,아이오닉5(IONIQ5)
396,강남구,대치동,아이오닉5 (IONIQ5)
397,강남구,대치동,EV6
398,강남구,대치동,EV6
399,강남구,대치동,EV6
400,강남구,대치동,EV6
401,강남구,대치동,EV6
402,강남구,대치동,EV6
403,강남구,대치동,아이오닉5(IONIQ5)
404,강남구,대치동,EV6
405,강남구,대치동,EV6
406,강남구,대치동,EV6
407,강남구,대치동,EV6
408,강남구,대치동,EV6
409,강남구,대치동,EV6
410,강남구,대치동,아이오닉5 (IONIQ5)
411,강남구,대치동,EV6
412,강남구,대치동,아이오닉5 (IONIQ5)
413,강남구,대치동,아이오닉5 (IONIQ5)
414,강남구,대치동,아이오닉5 (IONIQ5)
415,강남구,대치동,아이오닉5 (IONIQ5)
416,강남구,대치동,아이오닉5 (IONIQ5)
417,강남구,대치동,아이오닉5 (IONIQ5)
418,강남구,대치동,아이오닉5 (IONIQ5)
419,강남구,대치동,아이오닉5 (IONIQ5)
420,강남구,대치동,아이오닉5 (IONIQ5)
421,강남구,대치동,아이오닉5(IONIQ5)
422,강남구,대치동,아이오닉5(IONIQ5)
423,강남구,대치동,아이오닉5(IONIQ5)
424,강남구,대치동,아이오닉5(IONIQ5)
425,강남구,대치동,아이오닉5(IONIQ5)
426,강남구,대치동,아이오닉5(IONIQ5)
427,강남구,대치동,아이오닉5 (IONIQ5)
428,강남구,대치동,아이오닉5 (IONIQ5)
429,강남구,대치동,아이오닉5(IONIQ5)
430,동작구,상도동,포터Ⅱ 일렉트릭 (PORTERⅡ EL
431,동작구,상도동,봉고Ⅲ 1톤 EV
432,동작구,신대방동,아이오닉 일렉트릭(IONIQ ELEC
433,강남구,대치동,아이오닉5 (IONIQ5)
434,강남구,대치동,아이오닉5 (IONIQ5)
435,강남구,대치동,EV6
436,강남구,대치동,EV6
437,강남구,대치동,아이오닉5 (IONIQ5)
438,강남구,대치동,EV6
439,강남구,대치동,아이오닉5 (IONIQ5)
440,강남구,대치동,아이오닉5 (IONIQ5)
441,강남구,대치동,EV6
442,강남구,대치동,아이오닉5 (IONIQ5)
443,강남구,대치동,아이오닉5 (IONIQ5)
444,강남구,대치동,아이오닉5 (IONIQ5)
445,강남구,대치동,아이오닉5 (IONIQ5)
446,강남구,대치동,아이오닉5 (IONIQ5)
447,강남구,대치동,아이오닉5 (IONIQ5)
448,강남구,대치동,EV6
449,강남구,대치동,아이오닉5 (IONIQ5)
450,강남구,대치동,아이오닉5 (IONIQ5)
451,강남구,대치동,EV6
452,강남구,대치동,아이오닉5 (IONIQ5)
453,강남구,대치동,GV60
454,강남구,대치동,EV6
455,강남구,대치동,EV6
456,강남구,대치동,EV6
457,강남구,대치동,EV6
458,강남구,대치동,EV6
459,강남구,대치동,EV6
460,강남구,대치동,EV6
461,강남구,대치동,아이오닉5(IONIQ5)
462,강남구,대치동,EV6
463,강남구,대치동,EV6
464,강남구,대치동,EV6
465,강남구,대치동,EV6
466,강남구,대치동,EV6
467,강남구,대치동,아이오닉5 (IONIQ5)
468,강남구,대치동,아이오닉5 (IONIQ5)
469,강남구,대치동,EV6
470,강남구,대치동,EV6
471,강남구,대치동,아이오닉5 (IONIQ5)
472,강남구,대치동,EV6
473,강남구,대치동,아이오닉5 (IONIQ5)
474,강남구,대치동,아이오닉5 (IONIQ5)
475,강남구,대치동,EV6
476,강남구,대치동,아이오닉5 (IONIQ5)
477,동작구,신대방동,TWIZY
478,강남구,대치동,GV60
479,강남구,대치동,아이오닉5(IONIQ5)
480,강남구,대치동,아이오닉5(IONIQ5)
481,강남구,대치동,GV60
482,강남구,대치동,GV60
483,강남구,대치동,아이오닉5 (IONIQ5)
484,강남구,대치동,아이오닉5 (IONIQ5)
485,강남구,대치동,아이오닉5 (IONIQ5)
486,강남구,대치동,니로 EV
487,강남구,대치동,니로 EV
488,강남구,대치동,아이오닉5(IONIQ5)
489,강남구,대치동,아이오닉5 (IONIQ5)
490,강남구,대치동,아이오닉5(IONIQ5)
491,강남구,대치동,GV60
492,강남구,대치동,아이오닉5 (IONIQ5)
493,강남구,대치동,니로 EV
494,강남구,대치동,EV6
495,강남구,대치동,EV6
496,강남구,대치동,EV6
497,강남구,대치동,EV6
498,강남구,대치동,EV6
499,강남구,대치동,EV6
500,강남구,대치동,EV6
501,강남구,대치동,아이오닉5 (IONIQ5)
502,강남구,대치동,아이오닉5 (IONIQ5)
503,강남구,대치동,아이오닉5 (IONIQ5)
504,강남구,대치동,아이오닉5 (IONIQ5)
505,강남구,대치동,EV6
506,강남구,대치동,EV6
507,강남구,대치동,아이오닉5 (IONIQ5)
508,강남구,대치동,아이오닉5 (IONIQ5)
509,강남구,대치동,아이오닉5 (IONIQ5)
510,강남구,대치동,GV60
511,강남구,대치동,GV60
512,강남구,대치동,아이오닉5 (IONIQ5)
513,강남구,대치동,아이오닉5(IONIQ5)
514,강남구,대치동,아이오닉5 (IONIQ5)
515,강남구,대치동,GV60
516,강남구,대치동,GV60
517,강남구,대치동,아이오닉5 (IONIQ5)
518,강남구,대치동,아이오닉5 (IONIQ5)
519,강남구,대치동,니로 EV
520,강남구,대치동,니로 EV
521,강남구,대치동,니로 EV
522,강남구,대치동,아이오닉5(IONIQ5)
523,동작구,신대방동,CHEVROLET BOLT EV
524,동작구,신대방동,포터Ⅱ 일렉트릭 (PORTERⅡ EL
525,동작구,신대방동,봉고Ⅲ 1톤 EV
526,동작구,신대방동,Model 3 Long Range
527,동작구,신대방동,아이오닉 일렉트릭(IONIQ ELEC
528,동작구,신대방동,아이오닉 일렉트릭(IONIQ ELEC
529,동작구,신대방동,아이오닉5 (IONIQ5)
530,강남구,대치동,EV6
531,강남구,대치동,아이오닉5 (IONIQ5)
532,강남구,대치동,아이오닉5 (IONIQ5)
533,강남구,대치동,아이오닉5 (IONIQ5)
534,강남구,대치동,아이오닉5 (IONIQ5)
535,강남구,대치동,EV6
536,강남구,대치동,EV6
537,강남구,대치동,EV6
538,강남구,대치동,EV6
539,강남구,대치동,EV6
540,강남구,대치동,EV6
541,강남구,대치동,아이오닉5(IONIQ5)
542,강남구,대치동,아이오닉5(IONIQ5)
543,강남구,대치동,EV6
544,강남구,대치동,EV6
545,강남구,대치동,EV6
546,강남구,대치동,아이오닉5(IONIQ5)
547,강남구,대치동,아이오닉5(IONIQ5)
548,강남구,대치동,EV6
549,강남구,대치동,EV6
550,강남구,대치동,EV6
551,강남구,대치동,아이오닉5 (IONIQ5)
552,강남구,대치동,아이오닉5 (IONIQ5)
553,강남구,대치동,아이오닉5 (IONIQ5)
554,강남구,대치동,아이오닉5 (IONIQ5)
555,강남구,대치동,GV60
556,강남구,대치동,아이오닉5 (IONIQ5)
557,강남구,대치동,니로 EV
558,강남구,대치동,EV6
559,강남구,대치동,EV6
560,강남구,대치동,EV6
561,강남구,대치동,EV6
562,강남구,대치동,EV6
563,강남구,대치동,EV6
564,강남구,대치동,아이오닉5 (IONIQ5)
565,강남구,대치동,EV6
566,강남구,대치동,아이오닉5 (IONIQ5)
567,강남구,대치동,아이오닉5 (IONIQ5)
568,강남구,대치동,아이오닉5(IONIQ5)
569,강남구,대치동,아이오닉5 (IONIQ5)
570,강남구,대치동,EV6
571,강남구,대치동,EV6
572,강남구,대치동,EV6
573,강남구,대치동,GV60
574,강남구,대치동,EV6
575,강남구,대치동,EV6
576,동작구,신대방동,TWIZY
577,동작구,신대방동,CHEVROLET BOLT EV
578,동작구,신대방동,Model 3 Long Range
579,동작구,신대방동,코나 일렉트릭 (KONA ELECTRIC
580,동작구,흑석동,아이오닉5 (IONIQ5)
581,강남구,대치동,EV6
582,강남구,대치동,CHEVROLET BOLT EV
583,강남구,대치동,Model S 90D
584,강남구,대치동,니로 EV
585,강남구,대치동,아이오닉5 (IONIQ5)
586,강남구,대치동,GV60
587,강남구,대치동,EV6
588,강남구,대치동,아이오닉5 (IONIQ5)
589,강남구,대치동,EV6
590,강남구,대치동,아이오닉5(IONIQ5)
591,강남구,대치동,아이오닉5 (IONIQ5)
592,강남구,대치동,EV6
593,강남구,대치동,EV6
594,강남구,대치동,EV6
595,강남구,대치동,아이오닉5 (IONIQ5)
596,강남구,대치동,GV60
597,강남구,대치동,EV6
598,강남구,대치동,쏘울 전기차
599,강남구,대치동,Model S Performance
600,강남구,대치동,GV60
601,동작구,흑석동,e-tron 55 quattro
602,강남구,대치동,아이오닉5(IONIQ5)
603,강남구,대치동,아이오닉5 (IONIQ5)
604,강남구,대치동,아이오닉5 (IONIQ5)
605,강남구,대치동,아이오닉5 (IONIQ5)
606,강남구,대치동,아이오닉5 (IONIQ5)
607,강남구,대치동,아이오닉5 (IONIQ5)
608,강남구,대치동,니로 EV
609,강남구,대치동,EV6
610,강남구,대치동,EV6
611,강남구,대치동,Model Y Standard Range
612,강남구,대치동,Model Y Standard Range
613,강남구,대치동,Model Y Standard Range
614,강남구,대치동,니로 EV
615,강남구,대치동,EV6
616,강남구,대치동,EV6
617,강남구,대치동,니로 EV
618,강남구,대치동,아이오닉5 (IONIQ5)
619,강남구,대치동,아이오닉5 (IONIQ5)
620,강남구,대치동,아이오닉5 (IONIQ5)
621,강남구,대치동,아이오닉5 (IONIQ5)
622,강남구,대치동,아이오닉5 (IONIQ5)
623,강남구,대치동,Model 3 Long Range
624,강남구,대치동,LEAF
625,강남구,대치동,Model 3 Long Range
626,강남구,대치동,Model 3 Long Range
627,강남구,대치동,Model 3 Standard Range Plus 
628,강남구,대치동,아이오닉5 (IONIQ5)
629,강남구,대치동,아이오닉5 (IONIQ5)
630,강남구,대치동,아이오닉5 (IONIQ5)
631,강남구,대치동,아이오닉5 (IONIQ5)
632,강남구,대치동,아이오닉5 (IONIQ5)
633,강남구,대치동,아이오닉5 (IONIQ5)
634,강남구,대치동,니로 EV
635,강남구,대치동,EV6
636,강남구,대치동,Model Y Standard Range
637,강남구,대치동,Model Y Standard Range
638,동작구,흑석동,Model X Long Range
639,동작구,흑석동,SM3 Z.E.
640,마포구,공덕동,e-tron 55 quattro
641,강남구,대치동,아이오닉5 (IONIQ5)
642,강남구,대치동,니로 EV
643,강남구,대치동,EV6
644,강남구,대치동,니로 EV
645,강남구,대치동,EV6
646,강남구,대치동,EV6
647,강남구,대치동,아이오닉5 (IONIQ5)
648,강남구,대치동,EV6
649,강남구,대치동,EV6
650,강남구,대치동,EV6
651,강남구,대치동,EV6
652,강남구,대치동,EV6
653,강남구,대치동,EV6
654,강남구,대치동,니로 EV
655,강남구,대치동,아이오닉5 (IONIQ5)
656,강남구,대치동,아이오닉5 (IONIQ5)
657,강남구,대치동,EV6
658,강남구,대치동,아이오닉5 (IONIQ5)
659,강남구,대치동,아이오닉5 (IONIQ5)
660,강남구,대치동,EV6
661,강남구,대치동,아이오닉5(IONIQ5)
662,강남구,대치동,아이오닉5 (IONIQ5)
663,강남구,대치동,아이오닉5 (IONIQ5)
664,강남구,대치동,Model Y Standard Range
665,강남구,대치동,Model Y Standard Range
666,강남구,대치동,아이오닉5 (IONIQ5)
667,강남구,대치동,EV6
668,강남구,대치동,EV6
669,강남구,대치동,EV6
670,강남구,대치동,아이오닉5 (IONIQ5)
671,강남구,대치동,아이오닉5 (IONIQ5)
672,강남구,대치동,아이오닉5 (IONIQ5)
673,강남구,대치동,아이오닉5 (IONIQ5)
674,강남구,대치동,아이오닉5 (IONIQ5)
675,강남구,대치동,아이오닉5 (IONIQ5)
676,강남구,대치동,니로 EV
677,강남구,대치동,EV6
678,강남구,대치동,니로 EV
679,강남구,대치동,EV6
680,강남구,대치동,EV6
681,강남구,대치동,아이오닉5 (IONIQ5)
682,강남구,대치동,EV6
683,강남구,대치동,EV6
684,강남구,대치동,EV6
685,강남구,대치동,EV6
686,강남구,대치동,아이오닉5 (IONIQ5)
687,강남구,대치동,Model 3 Long Range
688,강남구,대치동,아이오닉5 (IONIQ5)
689,강남구,대치동,아이오닉5 (IONIQ5)
690,강남구,대치동,니로 EV
691,강남구,대치동,니로 EV
692,강남구,대치동,코나 일렉트릭 (KONA ELECTRIC
693,강남구,대치동,아이오닉 일렉트릭(IONIQ ELEC
694,강남구,대치동,쏘울 EV
695,강남구,대치동,아이오닉5 (IONIQ5)
696,강남구,대치동,EV6
697,강남구,대치동,EV6
698,강남구,대치동,EV6
699,강남구,대치동,아이오닉5 (IONIQ5)
700,강남구,대치동,아이오닉5 (IONIQ5)
701,강남구,대치동,EV6
702,강남구,대치동,아이오닉5 (IONIQ5)
703,강남구,대치동,아이오닉5 (IONIQ5)
704,강남구,대치동,EV6
705,강남구,대치동,아이오닉5(IONIQ5)
706,강남구,대치동,아이오닉5(IONIQ5)
707,강남구,대치동,아이오닉5 (IONIQ5)
